name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Kvarnsvedens kraftstation,,Fortum,58 MW,hydro,water-storage,Q10550929,60.52472222,15.42611111,Borlänge Municipality,Dalarna County,Sweden
Kattstrupeforsens kraftverk,,Jämtkraft,56 MW,hydro,,,,,,,
Västhamnsverket,,Öresundskraft,56 MW,biomass,combustion,,,,,,
Kymmens kraftverk,,Fortum,55 MW,hydro,water-pumped-storage,,,,,,
Häjsberget och södra Länsmansberget,,Tekniska verken i Linköping Vind,53 MW,wind,wind_turbine,,,,,,
Sättravallen vindkraftverk,,,53 MW,wind,wind_turbine,,,,,,
Långhags kraftverk,,Fortum Generation AB,52 MW,hydro,,Q81055350,,,,,
Töftedalsfjället,,,48.30 MW,wind,wind_turbine,,,,,,
Bullerforsens kraftstation,,Bullerforsens Kraft AB,47.00 MW,hydro,water-storage,Q10437660,60.50888889,15.43694444,Borlänge Municipality,Dalarna County,Sweden
Bullerforsens kraftstation,,Fortum Generation AB,47.00 MW,hydro,,Q10437660,60.50888889,15.43694444,Borlänge Municipality,Dalarna County,Sweden
Grimsås,,Grimsås Vindkraft AB,46.80 MW,wind,wind_turbine,,,,,,
Skutskär Mill power station,,,46.80 MW,biomass,,,,,,,
Forshuvudforsens kraftstation,,,44.00 MW,hydro,,Q10498128,60.53527778,15.42194444,Borlänge Municipality,Dalarna County,Sweden
Forshuvudforsens kraftverk,,,44.00 MW,hydro,,Q10498128,60.53527778,15.42194444,Borlänge Municipality,Dalarna County,Sweden
Lanforsen,,Fortum,44.00 MW,hydro,,,,,,,
Tolvmanstegen vindkraftpark,,Eolus Vind AB,44.00 MW,wind,,,,,,,
Hornamossen,,,43.00 MW,wind,wind_turbine,,,,,,
Bjurfors Övre kraftverk,,,42.00 MW,hydro,,,,,,,
Finnforsfallet,,Skellefteå Kraft,42.00 MW,hydro,run-of-the-river,Q56374530,64.790916666,20.336,,,Sweden
Gullspångs kraftverk,,Fortum,40.00 MW,hydro,run-of-the-river,,,,,,
Sikfors Kraftstation,,Skelleftekraft,40.00 MW,hydro,water-storage,,,,,,
Vindpark Riskebo,,,39.20 MW,wind,wind_turbine,,,,,,
Höge Väg Vindkraftpark,,,38.00 MW,wind,wind_turbine,,,,,,
Skedvi kraftstation,,Fortum Generation AB,38.00 MW,hydro,,Q81055797,60.3944,15.84704,,,Sweden
Örtoftaverket,,Kraftringen,38.00 MW,biomass,combustion,,,,,,
Svegs kraftverk,,,37.00 MW,hydro,,,,,,,
Vindkraftpark Enviksberget,,,36.90 MW,wind,wind_turbine,,,,,,
Hjuleberg Vindkraftpark,,Vattenfall Vindkraft AB,36.00 MW,wind,,Q131993226,56.966583333,12.769222222,Falkenberg Municipality,Halland County,Sweden
Lettens kraftverk,,Fortum,36.00 MW,hydro,water-pumped-storage,Q90812268,60.745373,12.786079,Torsby Municipality,Värmland County,Sweden
Spjutmo kraftverk,,Fortum Generation AB,35.00 MW,hydro,water-storage,Q81050096,61.08361,14.32278,Mora Municipality,Dalarna County,Sweden
Munkfors kraftverk,,,33.00 MW,hydro,run-of-the-river,Q96199028,59.847111111,13.538888888,Munkfors Municipality,Värmland County,Sweden
Orrberget vindpark,,OX2,33.00 MW,wind,wind_turbine,,,,,,
Vindpark Mombyåsen,,,33.00 MW,wind,wind_turbine,,,,,,
Alfta,,Voxnan Kraft AB,32.40 MW,hydro,run-of-the-river,,,,,,
Karsefors,,,31.40 MW,hydro,,,,,,,
Grytsjön,,Grytsjö Energi AB,30.00 MW,wind,wind_turbine,,,,,,
