name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Fjone kraftverk,,Skagerak Kraft,50 MW,hydro,water-storage,Q11969126,59.21703,8.45184,Nissedal,Telemark,Norway
Hamnefjellet vindkraftverk,,Hamnefjell Vindkraft,50 MW,wind,,,,,,,
Hennøy vindpark,,,50 MW,wind,,,,,,,
Roskrepp kraftverk,,Sira-Kvina kraftselskap,50 MW,hydro,water-storage,Q11998462,59.02568,7.08532,Sirdal,Agder,Norway
Tevla pumpekraftverk,,NTE Energi,49.60 MW,hydro,water-pumped-storage,Q12005672,63.39044,11.9106,Meråker Municipality,Trøndelag,Norway
Holsbru kraftverk,,Hydro Energi,49.00 MW,hydro,water-storage,Q19374607,61.3114,7.83066,Årdal Municipality,Vestland,Norway
Follafoss kraftverk,,NTE Energi,48.10 MW,hydro,water-storage,Q11969402,63.98699,11.10196,Verran Municipality,Nord-Trøndelag,Norway
Fagerli kraftverk,,Salten Kraftsamband Produksjon,48.00 MW,hydro,water-storage,Q11111260,67.1193,16.07712,Fauske Municipality,Nordland,Norway
Håverstad kraftstasjon,,Å Energi Vannkraft,48.00 MW,hydro,water-storage,Q11976455,58.50656,7.41948,Åseral Municipality,Agder,Norway
Kvittingen kraftverk,,Eviny Fornybar,48.00 MW,hydro,water-storage,Q11982720,60.46472,5.90845,Samnanger,Vestland,Norway
Mykstufoss kraftverk,,Å Energi Vannkraft,48.00 MW,hydro,run-of-the-river,Q19382111,60.04935,9.20057,Rollag Municipality,Buskerud,Norway
Novle kraftverk,,Hydro Energi,48.00 MW,hydro,water-storage,Q11992721,59.83845,6.88053,Ullensvang Municipality,Vestland,Norway
Skogfoss kraftverk,,Pasvik Kraft,48.00 MW,hydro,run-of-the-river,Q1792529,69.37281,29.69381,Sør-Varanger Municipality,Finnmark,Norway
Storlivatn kraftverk,,Aktieselskabet Saudefaldene,48.00 MW,hydro,water-storage,Q19390732,59.68519,6.51963,Sauda Municipality,Rogaland,Norway
Øljusjøen pumpekraftverk,,Østfold Energi,48.00 MW,hydro,water-pumped-storage,Q19399287,61.00381,8.08482,Lærdal Municipality,Vestland,Norway
Østerbø kraftverk,,SFE Produksjon,48.00 MW,hydro,water-storage,Q106363450,61.07731,5.91785,Høyanger Municipality,Vestland,Norway
Tysvær vindpark,,,47.00 MW,wind,wind_turbine,,,,,,
Bardufoss kraftverk,,Statkraft,45.00 MW,hydro,run-of-the-river,Q11960189,69.04369,18.58967,Målselv,Troms,Norway
Frøystul kraftverk,,Norsk Hydro,45.00 MW,hydro,water-storage,Q17775406,59.82567,8.35814,Tinn,Telemark,Norway
Havøygavlen vindpark,,Finnmark Kraft,45.00 MW,wind,,,,,,,
Hovatn kraftverk,,Å Energi Vannkraft,45.00 MW,hydro,water-storage,Q11975911,58.98293,7.66936,Bygland,Agder,Norway
Leirfossene kraftverk,,Statkraft,45.00 MW,hydro,run-of-the-river,Q11983654,63.37377,10.40463,Trondheim municipality,Trøndelag,Norway
Vemundsbotn kraftverk,,Eviny Fornybar,45.00 MW,hydro,water-storage,Q12009257,60.85496,5.69507,Masfjorden Municipality,Vestland,Norway
Dokka kraftverk,,Hafslund Kraft,44.60 MW,hydro,water-storage,Q11965844,60.8158,10.12151,Søndre Land Municipality,Innlandet,Norway
Tolga kraftverk,,Hafslund Kraft,43.10 MW,hydro,run-of-the-river,Q106859544,62.42791,11.08824,Tolga Municipality,Innlandet,Norway
Lio kraftverk,,Statkraft,43.00 MW,hydro,water-storage,Q19379507,59.46269,7.93908,Tokke Municipality,Telemark,Norway
Kongsvinger kraftverk,,Hafslund Kraft,42.70 MW,hydro,run-of-the-river,Q11981722,60.20255,11.8927,Kongsvinger Municipality,Innlandet,Norway
Tinfos I kraftverk,,Tinfos AS,41.00 MW,hydro,run-of-the-river,Q76737672,59.568611111,9.264444444,Notodden Municipality,Telemark,Norway
Uvdal II,,Skagerak Kraft,41.00 MW,hydro,run-of-the-river,Q12008723,60.265,8.93082,Nore og Uvdal Municipality,Buskerud,Norway
Funnefoss kraftverk,,Glomma Kraftproduksjon,40.00 MW,hydro,,Q17775488,60.16715,11.52926,Nes Municipality,Akershus,Norway
Jukla pumpekraftverk,,Statkraft,40.00 MW,hydro,water-pumped-storage,Q19376538,60.18911,6.38306,Kvinnherad Municipality,Vestland,Norway
Kvanndal kraftverk,,Norsk Hydro Rjukan,40.00 MW,hydro,water-storage,Q14436751,59.65831,6.98233,Suldal Municipality,Rogaland,Norway
Ormsetfoss kraftverk,,NTE Energi,40.00 MW,hydro,water-storage,Q11994112,63.84514,10.68782,Verran Municipality,Nord-Trøndelag,Norway
Vessingfoss kraftverk,,Statkraft,40.00 MW,hydro,water-storage,Q19397841,62.99566,11.82847,Tydal Municipality,Trøndelag,Norway
Ytre Vikna vindpark,,Aneo Vind,39.10 MW,wind,,,,,,,
Kjøllefjord vindpark,,Kjøllefjord Vind,39.00 MW,wind,,,,,,,
Aurland IV (Vangen) kraftverk,,Hafslund Kraft,38.00 MW,hydro,water-storage,Q19394239,60.90369,7.17768,Aurland Municipality,Vestland,Norway
Mæl kraftverk,,Hydro Energi,38.00 MW,hydro,run-of-the-river,Q19382172,59.92218,8.78002,Tinn,Telemark,Norway
Stuvane kraftverk,,Okken Kraft,38.00 MW,hydro,water-storage,Q19391049,61.05141,7.64176,Lærdal Municipality,Vestland,Norway
Mesna kraftverk,,Hafslund Kraft,37.50 MW,hydro,water-storage,Q11989128,61.11702,10.47094,Lillehammer,Innlandet,Norway
Mosvik kraftverk,,NTE Energi,37.00 MW,hydro,water-storage,Q11990095,63.72654,10.86853,Inderøy Municipality,Trøndelag,Norway
Søa kraftverk,,Trønderenergi Kraft,37.00 MW,hydro,water-storage,Q12004714,63.316268,9.143329,Heim Municipality,Trøndelag,Norway
Ustekveikja kraftverk,,,36.50 MW,hydro,water-storage,Q12008613,60.52775,7.75237,Hol Municipality,Buskerud,Norway
Braskereidfoss kraftverk,,Hafslund Kraft,36.00 MW,hydro,,Q17143362,60.70629,11.79202,Våler Municipality,Innlandet,Norway
Hardeland kraftverk,,Sunnhordland Kraftlag,36.00 MW,hydro,water-storage,Q5655842,59.6575,6.09667,Etne Municipality,Vestland,Norway
Dalavatn kraftverk,,Aktieselskabet Saudefaldene,35.40 MW,hydro,water-storage,Q11964608,59.69056,6.57012,Sauda Municipality,Rogaland,Norway
Grønsdal kraftverk,,Eviny Fornybar,35.00 MW,hydro,water-storage,Q11973088,60.4397,5.85949,Samnanger,Vestland,Norway
