name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
"Isojoki, Lakiakangas II",,CPC  Oy,50 MW,wind,,,,,,,
Joensuun voimalaitos,,Savon voima,50 MW,biomass,,Q18659499,62.593,29.837,Joensuu,North Karelia,Finland
Sarvankankaan tuulivoimapuisto,,,48.00 MW,wind,,,,,,,
Montan voimalaitos,,Fortum Oyj,47.00 MW,hydro,run-of-the-river,Q11883198,64.820833333,26.014444444,Muhos,North Ostrobothnia,Finland
Hallakankaan tuulivoimapuisto,,,45.60 MW,wind,,,,,,,
Aittokosken voimalaitos,,Fortum,45.00 MW,hydro,run-of-the-river,Q11850248,64.83597,28.852,Suomussalmi,Kainuu,Finland
Kolsin voimalaitos,,,45.00 MW,hydro,run-of-the-river,Q11872277,61.273333,22.355278,Kokemäki,Satakunta,Finland
Leipiön tuulivoimapuisto II,,St1 Nordic,45.00 MW,wind,wind_turbine,Q126042719,,,,,
Nivalan Kaukolämpö,,Nivalan Kaukolämpö Oy,45.00 MW,biomass,combustion,,,,,,
Rustarin tuulipuisto,Rustari Wind Farm,OX2,44.00 MW,wind,wind_turbine,,,,,,
Pahkakosken voimalaitos,,Pohjolan Voima,42.40 MW,hydro,,Q18661156,65.3575,26.03805556,Ii,North Ostrobothnia,Finland
Ajoksen tuulivoimapuisto,Ajos Wind Farm,OX2,42.00 MW,wind,wind_turbine,Q11870878,65.66274,24.54185,Kemi,Lappland,Finland
Maaselänkankaan tuulipuisto,,wpd Suomi Oy,41.30 MW,wind,,,,,,,
Helen Aurinkopuisto Kalanti Oy alue 1,,,41.00 MW,solar,photovoltaic,,,,,,
Porttipahdan voimalaitos,,Kemijoki Oy,40.50 MW,hydro,water-storage,,,,,,
Helen Aurinkopuisto Kalanti Oy alue 6,,,40.00 MW,solar,photovoltaic,,,,,,
Juurakko Hybridipuisto - tuulipuisto,,,40.00 MW,wind,,,,,,,
Merikosken voimalaitos,,Oulun Energia,40.00 MW,hydro,run-of-the-river,Q9252547,65.02277778,25.47333333,Oulu,North Ostrobothnia,Finland
Seitenoikean vesivoimalaitos,,Fortum,39.00 MW,hydro,water-storage,Q20736805,64.59175,28.417671,Ristijärvi,Kainuu,Finland
Maalismaan voimalaitos,,Pohjolan Voima,38.60 MW,hydro,,Q18660702,65.310833333,25.693333333,Oulu,North Ostrobothnia,Finland
Simo Halmekangas Tuuli,,Exilion Tuuli ky,37.95 MW,wind,,,,,,,
Kierikin voimalaitos,,Pohjolan Voima,37.50 MW,hydro,run-of-the-river,Q18660013,65.3575,26.037777777,Oulu,North Ostrobothnia,Finland
Jokelan tuulipuisto,,Suomen Hyötytuuli Oy,36.00 MW,wind,,,,,,,
Kitkiäisvaaran tuulivoimapuisto,,St1,36.00 MW,wind,wind_turbine,Q124788688,66.14036,24.0529,Tornio,Lappland,Finland
Annankankaan tuulivoimapuisto,,,35.00 MW,wind,,,,,,,
Nikkarinkaarron tuulivoimapuisto,,,35.00 MW,wind,,,,,,,
Kopsa II,,,33.00 MW,wind,,,,,,,
Haapakosken voimalaitos,,Pohjolan Voima,32.60 MW,hydro,,Q18658792,65.329444444,26.204722222,Oulu,North Ostrobothnia,Finland
